
500,16101.562500,-2.708,0.769,-51.405 
-164.062500,-703.125000,16265.625000,-2.703,0.769,-51.405 
-234.375000,-773.437500,16226.562500,-2.708,0.775,-51.405 
-273.437500,-757.812500,15992.187500,-2.708,0.775,-51.405 
-164.062500,-789.062500,15773.437500,-2.714,0.775,-51.405 
-187.500000,-773.437500,15828.125000,-2.714,0.775,-51.405 
-257.812500,-710.937500,16070.312500,-2.708,0.775,-51.405 
-226.562500,-734.375000,16195.312500,-2.703,0.775,-51.405 
-242.187500,-695.312500,16234.375000,-2.703,0.775,-51.405 
-148.437500,-765.625000,15984.375000,-2.708,0.775,-51.405 
-148.437500,-820.312500,15742.12.708,0.775,-51.405 
-335.937500,-781.250000,15867.187500,-2.708,0.775,-51.405 
-257.812500,-804.687500,15914.062500,-2.708,0.775,-51.405 
-242.187500,-726.562500,16054.687500,-2.708,0.775,-51.405 
-156.250000,-742.187500,16257.812500,-2.703,0.775,-51.405 
-109.375000,-765.625000,16000.000000,-2.708,0.775,-51.405 
-164.062500,-789.062500,15992.187500,-2.714,0.780,-51.405 
-257.812500,-781.250000,15843.750000,-2.714,0.780,-51.405 
-195.312500,-773.437500,15773.437500,-2.714,0.780,-51.405 
-281.250000,-695.312500,16101.562500,-2.708,0.775,-51.405 
-140.625000,-710.937500,16093.750000,-2.708,0.775,-51.405 
-54.687500,-726.562500,16109.375000,-2.708,0.775,-51.405 
-187.500000,-742.187500,16132.812500,-2.708,0.775,-51.405 
-296.875000,-820.312500,15742.187500,-2.714,0.775,-51.405 
-218.750000,-851.562500,15718.750000,-2.714,0.775,-51.405 
-218.750000,-679.687500,15859.375000,-2.708,0.775,-51.405 
-226.562500,-765.625000,16023.437500,-2.708,0.775,-51.405 
-179.687500,-726.562500,16250,-2.703,0.775,-51.405 
-242.187500,-734.375000,16148.437500,-2.708,0.775,-51.405 
-187.500000,-820.312500,15914.062500,-2.714,0.775,-51.405 
-312.500000,-796.875000,15859.375000,-2.714,0.780,-51.405 
-289.062500,-789.062500,15718.750000,-2.714,0.780,-51.405 
-296.875000,-710.937500,16101.562500,-2.708,0.775,-51.405 
-210.937500,-710.937500,16265.625000,-2.703,0.775,-51.405 
-234.375000,-687.500000,16179.687500,-2.703,0.775,-51.405 
-93.750000,-773.437500,16054.687500,-2.708,0.775,-51.405 
-101.562500,-781.250000,15992.187500,-2.708,0.780,-51.405 
-242.187500,-812.500000,15937.500000,-2.714,0.780,-51.405 
-273.437500,-796.875000,15968.750000,-2.708,0.780,-51.405 
-234.375000,-750.000000,15929.687500,-2.708,0.780,-51.405 
-203.125000,-679.687500,15937.500000,-2.703,0.775,-51.405 
-85.937500,-718.750000,16148.437500,-2.703,0.775,-51.405 
-234.375000,-742.187500,16085.937500,-2.708,0.775,-51.405 
-343.750000,-851.562500,16000.000000,-2.714,0.780,-51.405 
-273.437500,-859.375000,15000,-2.714,0.780,-51.405 
-273.437500,-804.687500,15750.000000,-2.714,0.775,-51.405 
-195.312500,-625.000000,16062.500000,-2.708,0.775,-51.405 
-140.625000,-726.562500,16109.375000,-2.703,0.775,-51.405 
-281.250000,-695.312500,16328.125000,-2.708,0.775,-51.405 
-187.500000,-820.312500,16078.125000,-2.708,0.775,-51.405 
-296.875000,-796.875000,15710.937500,-2.714,0.775,-51.405 
-187.500000,-789.062500,15734.375000,-2.714,0.775,-51.405 
-226.562500,-734.375000,15796.875000,-2.708,0.780,-51.405 
-195.312500,-718.750000,16093.750000,-2.703,0.775,-51.405 
-312.500000,-625.000000,16273.437500,-2.703,0.775,-51.405 
-187.500000,-734.375000,16070.312500,-2.703,0.775,-51.405 
-171.875000,-820.312500,15820.312500,-2.708,0.775,-51.405 
-218.750000,-820.312500,15820.312500,-2.714,0.780,-51.405 
-320.312500,-804.687500,15757.812500,-2.714,0.780,-51.405 
-335.937500,-804.687500,16046.875000,-2.708,0.780,-51.405 
-164.062500,-648.437500,16085.937500,-2.703,0.780,-51.405 
-101.562500,-703.125006281.250000,-2.703,0.775,-51.405 
-140.625000,-742.187500,16164.062500,-2.708,0.775,-51.405 
-234.375000,-851.562500,16054.687500,-2.714,0.780,-51.405 
-320.312500,-828.125000,15734.375000,-2.719,0.780,-51.405 
-257.812500,-781.250000,15687.500000,-2.714,0.780,-51.405 
-179.687500,-734.375000,16000.000000,-2.703,0.780,-51.405 
-187.500000,-656.250000,16210.937500,-2.703,0.780,-51.405 
-132.812500,-718.750000,16203.125000,-2.703,0.775,-51.405 
-125.000000,-812.500000,16023.437500,-2.708,0.775,-51.405 
-304.687500,-828.125000,15781.250000,-2.714,0.780,-51.405 
-281.250000,-882.812500,15625.000000,-2.714,0.780,-51.405 
-265.625000,-796.875000,15906.250000,-2.714,0.780,-51.405 
-234.375000,-695.312500,16304.687500,-2.708,0.780,-51.405 
-179.687500,-656.250000,16234.375000,-2.703,0.780,-51.405 
-140.625000,-757.812500,16210.937500,-2.708,0.780,-51.405 
-164.062500,-726.562500,15937.500000,-2.714,0.780,-51.405 
-265.625000,-820.312500,15867.187500,-2.714,0.780,-51.405 
-195.312500,-800,15890.625000,-2.714,0.780,-51.405 
-312.500000,-734.375000,16070.312500,-2.714,0.780,-51.405 
-164.062500,-710.937500,16007.812500,-2.703,0.780,-51.405 
-148.437500,-640.625000,16031.250000,-2.703,0.775,-51.405 
-39.062500,-718.750000,16250.000000,-2.708,0.775,-51.405 
-195.312500,-851.562500,15945.312500,-2.714,0.780,-51.405 
-328.125000,-812.500000,15890.625000,-2.719,0.780,-51.405 
-250.000000,-828.125000,15789.062500,-2.719,0.780,-51.405 
-210.937500,-765.625000,15757.812500,-2.714,0.780,-51.405 
-242.187500,-664.062500,16187.500000,-2.708,0.780,-51.405 
-109.375000,-734.375000,16210.937500,-2.708,0.780,-51.405 
-210.937500,-695.312500,16218.750000,-2.708,0.780,-51.405 
-218.750000,-789.062500,16062.500000,-2.714,0.780,-51.405 
-226.562500,-812.500000,15796.875000,-2.719,0.780,-51.405 
-250.000000,-726.562500,15742.187500,-2.719,0.780,-51.405 
-242.187500,-765.625000,15984.375000,-2.714,0.780,-51.405 
-179.687500,-718.750000,16273.437500,-2.708,0.780,-51.405 
-164.0625005.312500,16367.187500,-2.708,0.780,-51.405 
-226.562500,-765.625000,15828.125000,-2.714,0.780,-51.405 
-242.187500,-726.562500,15796.875000,-2.714,0.780,-51.405 
-171.875000,-828.125000,15835.937500,-2.714,0.780,-51.405 
-250.000000,-773.437500,15929.687500,-2.714,0.780,-51.405 
-273.437500,-750.000000,16148.437500,-2.708,0.780,-51.405 
-85.937500,-710.937500,16062.500000,-2.708,0.780,-51.405 
-156.250000,-742.187500,16187.500000,-2.708,0.775,-51.405 
-195.312500,-843.750000,16070.312500,-2.714,0.780,-51.405 
-359.375000,-804.687500,15843.750000,-2.719,0.780,-51.405 
-242.187500,-851.562500,15773.437500,-2.719,0.780,-51.405 
-125.000000,-750.000000,15820.312500,-2.714,0.780,-51.405 
-171.875000,-703.125000,16109.375000,-2.708,0.775,-51.405 
-117.187500,-703.125000,16250.000000,-2.708,0.775,-51.405 
-179.687500,-718.750000,16171.875000,-2.714,0.775,-51.405 
-281.250000,-781.250000,15929.687500,-2.714,0.780,-51.405 
