
-242.187500,-531.250000,16195.312500,-2.571,0.813,11.349 
-203.125000,-796.875000,15984.375000,-2.582,0.813,11.349 
-195.312500,-812.500000,15734.375000,-2.582,0.813,11.349 
-218.750000,-765.625000,15914.062500,-2.571,0.813,11.349 
-257.812500,-500.000000,16117.187500,-2.571,0.813,11.349 
-226.562500,-750.000000,16179.687500,-2.576,0.813,11.349 
-226.562500,-976.562500,15671.875000,-2.587,0.813,11.349 
-218.750000,-765.625000,15687.500000,-2.576,0.813,11.349 
-265.625000,-492.187500,16453.125000,-2.565,0.813,11.349 
-195.312500,-734.375000,16148.437500,-2.576,0.813,11.349 
-179.687500,-859.375000,15531.250000,-2.587,0.807,11.349 
-203.125000,-835.937500,15945.312500,-2.576,0.813,11.349 
-304.687500,-570.312500,16242.187500,-2.571,0.813,11.349 
-257.812500,-640.625000,15984.375000,-2.576,0.813,11.349 
-132.812500,-875.000000,15843.750000,-2.587,0.807,11.349 
-203.125000,-851.562500,16046.875000,-2.576,0.813,11.349 
-171.875000,-523.437500,16125.000000,-2.565,0.813,11.349 
-296.875000,-640.625000,16195.312500,-2.571,0.813,11.349 
-226.562500,-937.500000,15945.312500,-2.582,0.807,11.349 
-187.500000,-859.375000,15617.187500,-2.576,0.807,11.349 
-250.000000,-570.312500,16140.625000,-2.565,0.807,11.349 
-250.000000,-640.625000,16445.312500,-2.571,0.807,11.349 
-132.812500,-812.500000,15593.750000,-2.582,0.807,11.349 
-242.187500,-921.875000,15750.000000,-2.582,0.807,11.349 
-257.812500,-640.625000,16320.312500,-2.571,0.813,11.349 
-203.125000,-578.125000,16125.000000,-2.571,0.813,11.349 
-203.125000,-867.187500,15843.750000,-2.587,0.807,11.349 
-187.500000,-835.937500,15851.562500,-2.582,0.807,11.349 
-195.312500,-687.500000,16101.562500,-2.571,0.807,11.349 
-273.437500,-562.500000,16187.500000,-2.571,0.813,11.349 
-210.937500,-828.125000,15960.937500,-2.582,0.807,11.349 
-250.000000,-937.500000,15710.937500,-2.582,0.807,11.349 
-179.687500,-617.187500,15867.187500,-2.571,0.807,11.349 
-257.812500,-546.875000,16515.625000,-2.571,0.807,11.349 
-210.937500,-843.750000,15929.687500,-2.582,0.807,11.349 
-164.062500,-906.250000,15476.562500,-2.582,0.807,11.349 
-265.625000,-687.500000,16062.500000,-2.571,0.813,11.349 
-218.750000,-640.625000,16335.937500,-2.571,0.813,11.349 
-234.375000,-773.437500,15750.000000,-2.582,0.807,11.349 
-156.250000,-937.500000,15695.312500,-2.582,0.807,11.349 
-289.062500,-710.937500,16148.437500,-2.571,0.813,11.349 
-179.687500,-515.625000,16210.937500,-2.565,0.813,11.349 
-257.812500,-789.062500,15867.187500,-2.582,0.813,11.349 
-218.750000,-960.937500,15929.687500,-2.587,0.813,11.349 
-218.750000,-664.062500,15718.750000,-2.571,0.813,11.349 
-242.187500,-585.937500,16312.500000,-2.571,0.813,11.349 
-242.187500,-796.875000,16117.187500,-2.582,0.813,11.349 
-179.687500,-835.937500,15515.625000,-2.587,0.807,11.349 
-218.750000,-757.812500,15984.375000,-2.576,0.813,11.349 
-273.437500,-531.250000,16414.062500,-2.571,0.813,11.349 
-203.125000,-703.125000,15937.500000,-2.576,0.813,11.349 
-187.500000,-929.687500,15671.875000,-2.587,0.813,11.349 
-242.187500,-765.625000,15984.375000,-2.576,0.813,11.349 
-265.625000,-554.687500,16187.500000,-2.571,0.813,11.349 
-234.375000,-742.187500,15960.937500,-2.582,0.813,11.349 
-179.687500,-960.937500,15773.437500,-2.587,0.813,11.349 
-250.000000,-828.125000,15820.312500,-2.576,0.813,11.349 
-226.562500,-539.062500,16164.062500,-2.571,0.813,11.349 
-203.125000,-703.125000,16210.937500,-2.576,0.813,11.349 
-218.750000,-937.500000,15734.375000,-2.587,0.813,11.349 
-187.500000,-703.125000,15820.312500,-2.576,0.813,11.349 
-226.562500,-585.937500,16382.812500,-2.571,0.813,11.349 
-257.812500,-671.875000,16148.437500,-2.576,0.813,11.349 
-109.375000,-835.937500,15656.250000,-2.587,0.813,11.349 
-234.375000,-835.937500,15835.937500,-2.576,0.813,11.349 
-234.375000,-617.187500,16234.375000,-2.571,0.813,11.349 
-257.812500,-617.187500,16000.000000,-2.576,0.813,11.349 
-156.250000,-906.250000,15734.375000,-2.587,0.813,11.349 
-195.312500,-820.312500,15984.375000,-2.582,0.813,11.349 
-195.312500,-539.062500,15937.500000,-2.571,0.813,11.349 
-242.187500,-656.250000,16328.125000,-2.576,0.813,11.349 
-226.562500,-914.062500,15875.000000,-2.587,0.813,11.349 
-156.250000,-828.125000,15625.000000,-2.582,0.813,11.349 
-289.062500,-593.750000,16195.312500,-2.571,0.813,11.349 
-226.562500,-632.812500,16257.812500,-2.576,0.813,11.349 
-234.375000,-875.000000,15679.687500,-2.582,0.813,11.349 
-203.125000,-828.125000,15671.875000,-2.582,0.813,11.349 
-265.625000,-640.625000,16359.375000,-2.571,0.813,11.349 
-257.812500,-695.312500,16132.812500,-2.571,0.813,11.349 
-132.812500,-804.687500,15773.437500,-2.582,0.813,11.349 
-195.312500,-890.625000,16039.062500,-2.582,0.813,11.349 
-218.750000,-617.187500,15898.437500,-2.571,0.813,11.349 
-304.687500,-593.750000,16203.125000,-2.571,0.813,11.349 
-187.500000,-859.375000,16023.437500,-2.582,0.813,11.349 
