
726.562500,15796.875000,-2.384,0.549,-75.031 
-210.937500,-726.562500,16187.500000,-2.401,0.555,-75.031 
-117.187500,-796.875000,15773.437500,-2.406,0.555,-75.031 
-117.187500,-695.312500,15718.750000,-2.401,0.555,-75.031 
-195.312500,-648.437500,16265.625000,-2.395,0.555,-75.031 
-101.562500,-648.437500,16179.687500,-2.401,0.549,-75.031 
-132.812500,-718.750000,15765.625000,-2.406,0.555,-75.031 
-257.812500,-687.500000,15929.687500,-2.401,0.555,-75.031 
-164.062500,-648.437500,16367.187500,-2.395,0.549,-75.031 
-54.687500,-625.000000,16007.812500,-2.401,0.549,-75.031 
-226.562500,-742.187500,15921.875000,-2.406,0.555,-75.031 
-242.187500,-710.937500,15835.937500,-2.401,0.555,-75.031 
-93.750000,-585.937500,16226.562500,-2.395,0.549,-75.031 
-218.750000,-695.312500,16117.187500,-2.401,0.549,-75.031 
-148.437500,-734.375000,15734.375000,-2.406,0.549,-75.031 
-171.875000,-695.312500,15859.375000,-2.401,0.549,-75.031 
-179.687500,-632.812500,16289.062500,-2.395,0.549,-75.031 
-101.562500,-718.750000,16062.500000,-2.401,0.549,-75.031 
-210.937500,-726.562500,15726.562500,-2.406,0.549,-75.031 
-226.562500,-656.250000,15937.500000,-2.401,0.555,-75.031 
-156.250000,-632.812500,16375.000000,-2.401,0.549,-75.031 
-85.937500,-656.250000,15851.562500,-2.401,0.549,-75.031 
-226.562500,-703.125000,15835.937500,-2.406,0.549,-75.031 
-242.187500,-679.687500,16023.437500,-2.406,0.555,-75.031 
-31.250000,-656.250000,16039.062500,-2.401,0.549,-75.031 
-117.187500,-640.625000,16054.687500,-2.401,0.549,-75.031 
-234.375000,-710.937500,15867.187500,-2.411,0.555,-75.031 
-164.062500,-640.625000,15789.062500,-2.406,0.549,-75.031 
-171.875000,-609.375000,16101.562500,-2.401,0.549,-75.031 
-218.750000,-656.250000,16351.562500,-2.401,0.549,-75.031 
-78.125000,-710.937500,15773.437500,-2.406,0.549,-75.031 
-242.187500,-609.375000,15796.875000,-2.406,0.549,-75.031 
-187.500000,-671.875000,16375.000000,-2.401,0.549,-75.031 
-15.625000,-679.687500,15953.125000,-2.401,0.549,-75.031 
-132.812500,-718.750000,15703.125000,-2.406,0.549,-75.031 
-265.625000,-679.687500,15945.312500,-2.406,0.555,-75.031 
-78.125000,-625.000000,16062.500000,-2.395,0.549,-75.031 
-93.750000,-703.125000,16070.312500,-2.395,0.549,-75.031 
-250.000000,-742.187500,15984.375000,-2.406,0.555,-75.031 
-148.437500,-726.562500,15812.500000,-2.406,0.555,-75.031 
-101.562500,-625.000000,16132.812500,-2.395,0.549,-75.031 
-171.875000,-703.125000,16218.750000,-2.395,0.549,-75.031 
-195.312500,-671.875000,15898.437500,-2.406,0.549,-75.031 
-140.625000,-648.437500,15695.312500,-2.401,0.555,-75.031 
-250.000000,-632.812500,16125.000000,-2.395,0.555,-75.031 
-148.437500,-679.687500,16296.875000,-2.401,0.555,-75.031 
-117.187500,-687.500000,15750.000000,-2.401,0.555,-75.031 
-296.875000,-656.250000,15937.500000,-2.401,0.560,-75.031 
-210.937500,-664.062500,16210.937500,-2.395,0.555,-75.031 
-15.625000,-656.250000,15968.750000,-2.395,0.555,-75.031 
-234.375000,-703.125000,15976.562500,-2.401,0.560,-75.031 
-281.250000,-710.937500,15890.625000,-2.401,0.555,-75.031 
-85.937500,-640.625000,15843.750000,-2.395,0.549,-75.031 
-171.875000,-632.812500,16156.250000,-2.395,0.555,-75.031 
-203.125000,-734.375000,16015.625000,-2.406,0.555,-75.031 
-109.375000,-671.875000,15617.187500,-2.401,0.555,-75.031 
-234.375000,-625.000000,16031.250000,-2.395,0.555,-75.031 
-179.687500,-687.500000,16312.500000,-2.395,0.555,-75.031 
-101.562500,-695.312500,15835.937500,-2.406,0.555,-75.031 
-257.812500,-703.125000,15734.375000,-2.406,0.560,-75.031 
-242.187500,-648.437500,16187.500000,-2.401,0.555,-75.031 
-62.500000,-632.812500,16125.000000,-2.401,0.555,-75.031 
-109.375000,-703.125000,16000.000000,-2.406,0.555,-75.031 
-328.125000,-703.125000,15890.625000,-2.406,0.560,-75.031 
-109.375000,-671.875000,15960.937500,-2.401,0.555,-75.031 
-78.125000,-671.875000,16203.125000,-2.395,0.555,-75.031 
-203.125000,-734.375000,16070.312500,-2.406,0.560,-75.031 
-132.812500,-750.000000,15773.437500,-2.406,0.555,-75.031 
-156.250000,-671.875000,15812.500000,-2.401,0.560,-75.031 
-218.750000,-648.437500,16296.875000,-2.395,0.555,-75.031 
-101.562500,-734.375000,15960.937500,-2.406,0.555,-75.031 
-171.875000,-687.500000,15554.687500,-2.406,0.560,-75.031 
-234.375000,-648.437500,16031.250000,-2.395,0.560,-75.031 
-101.562500,-664.062500,16320.312500,-2.395,0.555,-75.031 
-85.937500,-679.687500,15898.437500,-2.401,0.555,-75.031 
-351.562500,-664.062500,15851.562500,-2.406,0.560,-75.031 
-257.812500,-640.625000,16046.875000,-2.401,0.560,-75.031 
-70.312500,-625.000000,16101.562500,-2.395,0.555,-75.031 
-187.500000,-671.875000,16023.437500,-2.406,0.560,-75.031 
-273.437500,-718.750000,15867.187500,-2.411,0.560,-75.031 
-140.625000,-625.000000,15757.812500,-2.401,0.555,-75.031 
-164.062500,-601.562500,16273.437500,-2.401,0.555,-75.031 
-156.250000,-726.562500,15867.187500,-2.406,0.555,-75.031 
-171.875000,-718.750000,15640.625000,-2.406,0.555,-75.031 
-257.812500,-625.000000,16148.437500,-2.401,0.560,-75.031 
-125.000000,-632.812500,16335.937500,-2.395,0.555,-75.031 
-85.937500,-679.687500,15765.625000,-2.406,0.555,-75.031 
