
-742.187500,15593.750000,-2.379,0.533,-75.558 
-93.750000,-632.812500,16062.500000,-2.379,0.538,-75.564 
-156.250000,-726.562500,16265.625000,-2.379,0.538,-75.564 
-101.562500,-765.625000,15875.000000,-2.390,0.538,-75.564 
-125.000000,-687.500000,15523.437500,-2.390,0.538,-75.564 
-164.062500,-640.625000,16335.937500,-2.379,0.544,-75.564 
-85.937500,-734.375000,16226.562500,-2.379,0.538,-75.564 
-46.875000,-695.312500,15609.375000,-2.390,0.538,-75.564 
-343.750000,-765.625000,15898.437500,-2.390,0.544,-75.564 
-109.375000,-664.062500,16390.625000,-2.384,0.538,-75.564 
46.875000,-671.875000,15976.562500,-2.379,0.533,-75.564 
-210.937500,-750.000000,15921.875000,-2.390,0.538,-75.564 
-250.000000,-726.562500,15750.000000,-2.395,0.544,-75.564 
46.875000,-656.250000,16015.625000,-2.384,0.533,-75.564 
-171.875000,-625.000000,16281.250000,-2.379,0.538,-75.564 
-257.812500,-796.875000,16015.625000,-2.390,0.538,-75.564 
-117.187500,-695.312500,15617.187500,-2.395,0.538,-75.564 
-273.437500,-625.000000,16140.625000,-2.384,0.538,-75.564 
-171.875000,-679.687500,16460.937500,-2.379,0.533,-75.564 
0.000000,-781.250000,15828.125000,-2.390,0.533,-75.564 
-195.312500,-695.312500,15578.125000,-2.395,0.533,-75.564 
-250.000000,-625.000000,16250.000000,-2.384,0.538,-75.564 
7.812500,-703.125000,16171.875000,-2.379,0.527,-75.558 
-195.312500,-757.812500,15890.625000,-2.390,0.533,-75.564 
-289.062500,-734.375000,15875.000000,-2.395,0.538,-75.564 
-54.687500,-679.687500,16117.187500,-2.384,0.533,-75.564 
-93.750000,-632.812500,16132.812500,-2.379,0.533,-75.564 
-250.000000,-750.000000,16117.187500,-2.384,0.533,-75.564 
-132.812500,-726.562500,15742.187500,-2.395,0.533,-75.564 
-101.562500,-632.812500,15781.250000,-2.384,0.533,-75.564 
-187.500000,-710.937500,16476.562500,-2.379,0.533,-75.564 
-132.812500,-742.187500,16031.250000,-2.384,0.533,-75.564 
-101.562500,-671.875000,15531.250000,-2.390,0.533,-75.564 
-335.937500,-664.062500,16218.750000,-2.384,0.533,-75.564 
-125.000000,-695.312500,16414.062500,-2.379,0.533,-75.564 
-23.437500,-703.125000,15914.062500,-2.384,0.527,-75.558 
-234.375000,-789.062500,15804.687500,-2.395,0.533,-75.564 
-164.062500,-695.312500,16078.125000,-2.390,0.533,-75.564 
7.812500,-609.375000,16109.375000,-2.379,0.527,-75.558 
-218.750000,-718.750000,16023.437500,-2.384,0.527,-75.558 
-195.312500,-789.062500,15859.375000,-2.395,0.533,-75.564 
-15.625000,-703.125000,15828.125000,-2.390,0.527,-75.558 
